#{"t_start": 1778125849.5004199, "env_id": "CarRacing-v3"}
r,l,t
782.882883,1000,5299.876132
576.806084,1000,5324.862429
325.324675,1000,5352.707273
193.159609,1000,5379.316808
855.223881,1000,5406.761264
888.416988,1000,5435.370279
775.838926,1000,5467.672187
654.32526,1000,5498.358534
427.210884,1000,5527.466154
888.372093,1000,5556.127586
736.734694,1000,5584.03031
